screen_name,acct_age,follower_count,friends_count,statuses_count,favorites_count,avg_status_count,verified_acct,default_image,default_profile,rel_new_acct,isbot
jafarali333,900,1586,870,216044,205568,240.04888888888888,0,0,1,0,1
yourownsaqqu,493,20,109,180,1715,0.36511156186612576,0,0,1,0,0
sunny_herc,3441,2482,1079,61039,28700,17.73873873873874,0,0,1,0,0
SunilmahlaSahab,2366,435,870,12322,16846,5.207945900253592,0,0,1,0,0
badbutterfllies,3039,3108,979,418145,4594,137.59295820993748,0,0,0,0,1
FUN207981780,88,93,346,3335,4096,37.89772727272727,0,0,1,1,0
JagrookSiraj,381,4,83,1960,4590,5.1443569553805775,0,0,1,0,0
pandit_jr,1159,316,1453,12237,22248,10.558239861949957,0,0,1,0,0
indobangluru,866,291,274,13298,53624,15.355658198614318,0,0,1,0,0
ILovePolitics14,837,3674,3899,49764,9000,59.45519713261649,0,0,1,0,1
sandeep75764199,316,2637,2561,17244,12920,54.56962025316456,0,0,1,0,0
amitkaggarwal8,1664,83,180,7837,15494,4.709735576923077,0,1,1,0,0
karthick_sk65,933,254,37,92067,47404,98.67845659163987,0,0,0,0,0
Eramsyed_,378,9860,317,10973,10375,29.02910052910053,0,0,1,0,0
Sidharth264,890,38,359,788,4653,0.8853932584269663,0,0,1,0,0
RealJenisha,2724,461,58,3644,2298,1.3377386196769456,0,0,0,0,0
Hindustani0707,588,67,197,6047,20828,10.284013605442176,0,0,0,0,0
rashmihindu__,584,2830,786,39626,14715,67.8527397260274,0,0,1,0,0
taetaestark,2743,916,887,13327,27441,4.858549033904485,0,0,0,0,0
sikandarbjp,2729,2966,141,192706,44405,70.61414437522902,0,0,1,0,0
Asifzkrb,3797,199,277,2825,17523,0.7440084277060838,0,0,1,0,0
vijayan_vijay61,241,167,224,15217,9740,63.14107883817427,0,0,1,1,0
danishakhtar70,2861,54,2392,9473,14384,3.3110800419433764,0,0,1,0,0
BlueTaabish,2730,521,175,30915,67262,11.324175824175825,0,0,1,0,0
vikas39665049,1542,128,111,3616,1755,2.345006485084306,0,0,0,0,0
nsadaf,3538,261,1150,28208,47399,7.972866026003392,0,0,1,0,0
hemirdesai,3519,3762,2941,78653,2114,22.350951974992896,0,0,0,0,0
iamshaah5,3966,858,423,34315,3899,8.652294503277862,0,0,0,0,0
